repeat,target,mondrian_worst,qtcp_worst,sa_mondrian_worst,sa_n_min,sa_n_bins
14,mean_wait_minutes,0.8220338983050848,0.7983870967741935,0.8556701030927835,130,9
14,mean_total_minutes,0.7980769230769231,0.7894736842105263,0.7803030303030303,130,9
14,p95_wait_minutes,0.8050847457627118,0.7473684210526316,0.7857142857142857,100,12
15,n_patients,0.803921568627451,0.672566371681416,0.875,130,9
15,mean_wait_minutes,0.8571428571428571,0.7857142857142857,0.8557692307692307,130,9
15,mean_total_minutes,0.8775510204081632,0.7857142857142857,0.8602150537634409,100,12
15,p95_wait_minutes,0.9071428571428571,0.8357142857142857,0.8082191780821918,100,12
16,n_patients,0.8454545454545455,0.7,0.8375,100,12
16,mean_wait_minutes,0.8454545454545455,0.8235294117647058,0.8421052631578947,80,15
16,mean_total_minutes,0.8103448275862069,0.8103448275862069,0.7833333333333333,130,9
16,p95_wait_minutes,0.8545454545454545,0.8017241379310345,0.8253968253968254,60,20
17,n_patients,0.8712871287128713,0.6990291262135923,0.8536585365853658,60,20
17,mean_wait_minutes,0.8737864077669902,0.8248175182481752,0.881578947368421,80,15
17,mean_total_minutes,0.8543689320388349,0.8514851485148515,0.832,130,9
17,p95_wait_minutes,0.8881118881118881,0.8192771084337349,0.8241758241758241,100,12
18,n_patients,0.8870967741935484,0.743801652892562,0.8444444444444444,60,20
18,mean_wait_minutes,0.8865979381443299,0.8144329896907216,0.8782608695652174,130,9
18,mean_total_minutes,0.883495145631068,0.8548387096774194,0.796875,80,15
18,p95_wait_minutes,0.865979381443299,0.7352941176470589,0.8405797101449275,100,12
19,n_patients,0.8791208791208791,0.7777777777777778,0.8472222222222222,80,15
19,mean_wait_minutes,0.8468468468468469,0.7747747747747747,0.8472222222222222,100,12
19,mean_total_minutes,0.8608695652173913,0.8434782608695652,0.8656716417910447,130,9
19,p95_wait_minutes,0.8505747126436781,0.7913043478260869,0.8625,130,9
20,n_patients,0.8571428571428571,0.6744186046511628,0.8601398601398601,130,9
20,mean_wait_minutes,0.8813559322033898,0.8333333333333334,0.8518518518518519,130,9
20,mean_total_minutes,0.8449612403100775,0.788135593220339,0.8251748251748252,130,9
20,p95_wait_minutes,0.8305084745762712,0.8526315789473684,0.8314606741573034,100,12
21,n_patients,0.8681318681318682,0.7757009345794392,0.8372093023255814,130,9
21,mean_wait_minutes,0.8608695652173913,0.8,0.8367346938775511,100,12
21,mean_total_minutes,0.8604651162790697,0.8347826086956521,0.8068181818181818,130,9
21,p95_wait_minutes,0.8527131782945736,0.8035714285714286,0.7959183673469388,100,12
22,n_patients,0.8571428571428571,0.7672413793103449,0.8230088495575221,130,9
22,mean_wait_minutes,0.8608695652173913,0.8376068376068376,0.8214285714285714,100,12
22,mean_total_minutes,0.8620689655172413,0.8376068376068376,0.62,60,20
22,p95_wait_minutes,0.8782608695652174,0.7878787878787878,0.8690476190476191,100,12
23,n_patients,0.8148148148148148,0.7368421052631579,0.75,60,20
23,mean_wait_minutes,0.8157894736842105,0.8571428571428571,0.8584905660377359,130,9
23,mean_total_minutes,0.8503937007874016,0.7870370370370371,0.8048780487804879,60,20
23,p95_wait_minutes,0.868421052631579,0.8217821782178217,0.8076923076923077,100,12
24,n_patients,0.8525641025641025,0.73,0.853448275862069,130,9
24,mean_wait_minutes,0.8241758241758241,0.7657657657657657,0.8490566037735849,100,12
24,mean_total_minutes,0.83,0.7802197802197802,0.7910447761194029,100,12
24,p95_wait_minutes,0.8571428571428571,0.7923076923076923,0.8433734939759037,100,12
25,n_patients,0.8235294117647058,0.6823529411764706,0.8278688524590164,130,9
25,mean_wait_minutes,0.7764705882352941,0.81,0.8695652173913043,130,9
25,mean_total_minutes,0.8416666666666667,0.8620689655172413,0.8688524590163934,130,9
25,p95_wait_minutes,0.864406779661017,0.7333333333333333,0.8260869565217391,130,9
26,n_patients,0.8532110091743119,0.7741935483870968,0.7555555555555555,60,20
26,mean_wait_minutes,0.8348623853211009,0.8,0.875,130,9
26,mean_total_minutes,0.86,0.76,0.8478260869565217,100,12
26,p95_wait_minutes,0.8739495798319328,0.8532110091743119,0.8260869565217391,80,15
27,n_patients,0.8598130841121495,0.7032967032967034,0.7931034482758621,60,20
27,mean_wait_minutes,0.8728813559322034,0.7966101694915254,0.7313432835820896,80,15
27,mean_total_minutes,0.8411214953271028,0.8108108108108109,0.872093023255814,100,12
27,p95_wait_minutes,0.8558558558558559,0.7692307692307693,0.8611111111111112,130,9
28,n_patients,0.7903225806451613,0.7096774193548387,0.7682926829268293,100,12
28,mean_wait_minutes,0.8348623853211009,0.7479674796747967,0.8490566037735849,130,9
28,mean_total_minutes,0.8347826086956521,0.8165137614678899,0.8404255319148937,130,9
28,p95_wait_minutes,0.8521739130434782,0.8348623853211009,0.8301886792452831,130,9
29,n_patients,0.8740157480314961,0.7480314960629921,0.8103448275862069,80,15
29,mean_wait_minutes,0.8468468468468469,0.8288288288288288,0.851063829787234,60,20
29,mean_total_minutes,0.8367346938775511,0.7551020408163265,0.8125,130,9
29,p95_wait_minutes,0.8679245283018868,0.8198198198198198,0.8617886178861789,130,9
