repeat,target,method,coverage,mean_width
21,mean_wait_minutes,Mondrian CP,0.914,41.348837077231224
21,mean_total_minutes,GP baseline,0.891,44.85419237151119
21,mean_total_minutes,Standard CP,0.879,45.832929803676905
21,mean_total_minutes,Mondrian CP,0.916,45.417782502745965
21,p95_wait_minutes,GP baseline,0.883,353.3084961107577
21,p95_wait_minutes,Standard CP,0.899,366.09678643849804
21,p95_wait_minutes,Mondrian CP,0.913,326.080009842294
22,n_patients,GP baseline,0.878,40.143001659518795
22,n_patients,Standard CP,0.89,42.36439731591554
22,n_patients,Mondrian CP,0.901,43.25610267694939
22,mean_wait_minutes,GP baseline,0.875,42.96674460245417
22,mean_wait_minutes,Standard CP,0.908,49.80431136684223
22,mean_wait_minutes,Mondrian CP,0.916,43.3436988315864
22,mean_total_minutes,GP baseline,0.867,41.91972771045362
22,mean_total_minutes,Standard CP,0.899,47.57403191043625
22,mean_total_minutes,Mondrian CP,0.911,45.13612100258007
22,p95_wait_minutes,GP baseline,0.896,369.41091137288174
22,p95_wait_minutes,Standard CP,0.905,389.0463995949144
22,p95_wait_minutes,Mondrian CP,0.935,347.8262556722819
23,n_patients,GP baseline,0.893,40.54769396292773
23,n_patients,Standard CP,0.874,40.63557366179435
23,n_patients,Mondrian CP,0.886,41.360476747776154
23,mean_wait_minutes,GP baseline,0.9,44.89098424518205
23,mean_wait_minutes,Standard CP,0.908,49.47894088817209
23,mean_wait_minutes,Mondrian CP,0.912,41.879122938954886
23,mean_total_minutes,GP baseline,0.888,43.96136968393158
23,mean_total_minutes,Standard CP,0.882,46.448767641741995
23,mean_total_minutes,Mondrian CP,0.899,44.19933836587774
23,p95_wait_minutes,GP baseline,0.898,355.3918147238182
23,p95_wait_minutes,Standard CP,0.91,373.12365109154507
23,p95_wait_minutes,Mondrian CP,0.923,332.704145900159
24,n_patients,GP baseline,0.905,40.189610208226526
24,n_patients,Standard CP,0.901,40.4665760096737
24,n_patients,Mondrian CP,0.893,40.07897641293936
24,mean_wait_minutes,GP baseline,0.867,44.66931105179268
24,mean_wait_minutes,Standard CP,0.882,46.820824307455325
24,mean_wait_minutes,Mondrian CP,0.914,43.29456224555156
24,mean_total_minutes,GP baseline,0.876,44.09945670415394
24,mean_total_minutes,Standard CP,0.887,47.672664263754854
24,mean_total_minutes,Mondrian CP,0.887,44.656361757564795
24,p95_wait_minutes,GP baseline,0.887,351.6820631991378
24,p95_wait_minutes,Standard CP,0.886,360.9326162215592
24,p95_wait_minutes,Mondrian CP,0.913,337.98571254431687
25,n_patients,GP baseline,0.9,40.62240252142663
25,n_patients,Standard CP,0.906,41.2404091911842
25,n_patients,Mondrian CP,0.897,41.605032077007905
25,mean_wait_minutes,GP baseline,0.88,44.14243250321287
25,mean_wait_minutes,Standard CP,0.904,48.398936061321194
25,mean_wait_minutes,Mondrian CP,0.921,43.35632037699525
25,mean_total_minutes,GP baseline,0.9,44.66057024200581
25,mean_total_minutes,Standard CP,0.906,48.21789486262645
25,mean_total_minutes,Mondrian CP,0.918,45.41617295098318
25,p95_wait_minutes,GP baseline,0.9,347.76892101538886
25,p95_wait_minutes,Standard CP,0.894,362.87223930044115
25,p95_wait_minutes,Mondrian CP,0.917,325.72424282759175
26,n_patients,GP baseline,0.892,40.91398376906844
26,n_patients,Standard CP,0.904,42.18765794922251
26,n_patients,Mondrian CP,0.907,42.112843153524125
26,mean_wait_minutes,GP baseline,0.871,45.520998759299765
26,mean_wait_minutes,Standard CP,0.895,47.585493805110474
26,mean_wait_minutes,Mondrian CP,0.918,43.55373632775272
26,mean_total_minutes,GP baseline,0.881,43.83982681843746
26,mean_total_minutes,Standard CP,0.882,44.89873678318082
26,mean_total_minutes,Mondrian CP,0.905,43.053674688461555
26,p95_wait_minutes,GP baseline,0.882,365.9489175290599
26,p95_wait_minutes,Standard CP,0.898,383.1664301284893
26,p95_wait_minutes,Mondrian CP,0.917,351.5874361448025
27,n_patients,GP baseline,0.896,40.631709126265164
27,n_patients,Standard CP,0.9,41.540005271797384
27,n_patients,Mondrian CP,0.911,42.99717454890253
27,mean_wait_minutes,GP baseline,0.892,46.12662606328473
27,mean_wait_minutes,Standard CP,0.905,49.181410967638485
27,mean_wait_minutes,Mondrian CP,0.92,42.20157017808584
27,mean_total_minutes,GP baseline,0.888,44.93677587993218
27,mean_total_minutes,Standard CP,0.884,46.18197184608408
27,mean_total_minutes,Mondrian CP,0.907,44.8331861613985
27,p95_wait_minutes,GP baseline,0.88,365.25717553418224
27,p95_wait_minutes,Standard CP,0.886,368.19404241596544
27,p95_wait_minutes,Mondrian CP,0.912,327.5694222211348
28,n_patients,GP baseline,0.872,38.601198751951124
28,n_patients,Standard CP,0.885,40.78195799215871
28,n_patients,Mondrian CP,0.889,40.800386891213385
28,mean_wait_minutes,GP baseline,0.896,47.20782968410372
28,mean_wait_minutes,Standard CP,0.89,49.14960856856207
28,mean_wait_minutes,Mondrian CP,0.892,40.716600616331384
28,mean_total_minutes,GP baseline,0.893,45.736888367947145
28,mean_total_minutes,Standard CP,0.895,48.62280658884026
28,mean_total_minutes,Mondrian CP,0.907,46.02004101941682
28,p95_wait_minutes,GP baseline,0.89,369.962378329499
28,p95_wait_minutes,Standard CP,0.893,381.4608956823
28,p95_wait_minutes,Mondrian CP,0.902,323.198028966134
29,n_patients,GP baseline,0.906,40.282700417766016
29,n_patients,Standard CP,0.904,40.89061034828404
29,n_patients,Mondrian CP,0.914,42.64859087790597
29,mean_wait_minutes,GP baseline,0.888,44.67775644831371
29,mean_wait_minutes,Standard CP,0.904,47.059890017698606
29,mean_wait_minutes,Mondrian CP,0.917,40.42390431830795
29,mean_total_minutes,GP baseline,0.884,43.731492118640055
29,mean_total_minutes,Standard CP,0.902,47.12173678356805
29,mean_total_minutes,Mondrian CP,0.905,44.00888763938041
29,p95_wait_minutes,GP baseline,0.898,361.9822687865158
29,p95_wait_minutes,Standard CP,0.908,384.41275208556453
29,p95_wait_minutes,Mondrian CP,0.927,335.61216908587045
